query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
8,12.5,1.25,1.0244591338559985,30462405.0
8,12.5,2.5,2.4180450784042478,70414546.0
8,12.5,3.75,3.5362611850723624,102662902.0
8,12.5,5.0,3.8162602726370096,110666158.0
8,12.5,6.25,5.422956630587578,156588400.0
9,2.5,0.25,0.15142664033919573,5346103.0
9,2.5,0.5,0.43101962376385927,13355362.0
9,2.5,0.75,0.6545916693285108,19764916.0
9,2.5,1.0,0.8384447144344449,25013049.0
9,2.5,1.25,1.08090650010854,32075187.0
9,5.0,0.5,0.43101962376385927,13336882.0
9,5.0,1.0,0.8384447144344449,25057109.0
9,5.0,1.5,1.3609055876731873,40295833.0
9,5.0,2.0,1.971179491840303,57426060.0
9,5.0,2.5,2.474344520829618,71848651.0
9,7.5,0.75,0.6545916693285108,19698495.0
9,7.5,1.5,1.3609055876731873,40313471.0
9,7.5,2.25,2.2489084592089057,65597325.0
9,7.5,3.0,2.9968053940683603,87084391.0
9,7.5,3.75,3.3147487239912152,96229728.0
9,10.0,1.0,0.8384447144344449,24945506.0
9,10.0,2.0,1.971179491840303,58361269.0
9,10.0,3.0,2.9968053940683603,86980081.0
9,10.0,4.0,3.873372759670019,112269269.0
9,10.0,5.0,4.921445081941783,142340303.0
9,12.5,1.25,1.08090650010854,32073521.0
9,12.5,2.5,2.474344520829618,71913973.0
9,12.5,3.75,3.3147487239912152,96477876.0
9,12.5,5.0,4.921445081941783,142201451.0
9,12.5,6.25,5.7600682051852345,166405033.0
10,2.5,0.25,0.24946796149015427,8191568.0
10,2.5,0.5,0.3154251156374812,10278519.0
10,2.5,0.75,0.5578869013115764,17293928.0
10,2.5,1.0,0.8378859888762236,25494965.0
10,2.5,1.25,1.1540482388809323,34346676.0
10,5.0,0.5,0.3154251156374812,10286059.0
10,5.0,1.0,0.8378859888762236,25524995.0
10,5.0,1.5,1.3965100245550275,41394393.0
10,5.0,2.0,1.9561020955443382,57495971.0
10,5.0,2.5,2.373280841857195,69511993.0
10,7.5,0.75,0.5578869013115764,17337956.0
10,7.5,1.5,1.3965100245550275,41351212.0
10,7.5,2.25,1.9561020955443382,57690376.0
10,7.5,3.0,2.373280841857195,69596228.0
10,7.5,3.75,3.614087576046586,104855592.0
10,10.0,1.0,0.8378859888762236,25525281.0
10,10.0,2.0,1.9561020955443382,57561297.0
10,10.0,3.0,2.373280841857195,69685580.0
10,10.0,4.0,3.751673338934779,108844201.0
10,10.0,5.0,4.031266322359443,116877179.0
10,12.5,1.25,1.1540482388809323,34347912.0
10,12.5,2.5,2.373280841857195,69517556.0
